idItinerario,codigoAeropuerto,nombreAeropuerto
481,YYG,"Charlottetown, Prince Edward Island/, Canada Charlottetown"
482,XCM,"Chatham, Ontario, Canada"
483,CHA,"Chattanooga, TN, USA Cha Lovell Field"
484,CYF,"Chefornak, Alaska, USA   Chefornak Airport"
485,CJU,"Cheju, South Korea Cheju"
486,CEK,"Chelyabinsk, Russia   Chelyabinsk Airport"
487,XHS,"Chemainus, British Columbia, Canada Chemainus / Via Rail Service"
488,CTU,"Chengdu, China"
489,MAA,"Chennai (Madras), India  Chenai Meenambarkkam Airport"
490,CJJ,"Cheong Ju City, Republic of Korea   Cheong Ju City Airport"
491,CER,"Cherbourg, France Maupertus"
492,CTM,"Chetumal, Mexico   Chetumal Airport"
493,VAK,"Chevak, ALaska   Chevak Airport"
494,YHR,"Chevery, Canada   Chevery Airport"
495,CYS,"Cheyenne, WY, USA Cheyenne Municipal Airport"
496,CNX,"Chiang Mai, Thailand International"
497,CEI,"Chiang Rai, Thailand Chiang Rai"
498,CYI,"Chiayi, Taiwan   Chiayi Airport"
499,YMT,"Chibougamau, Quebec, Canada Chibougamau"
